observation_date,HPI
7/1/75,31.52
10/1/75,31.03
1/1/76,31.14
4/1/76,32.4
7/1/76,33.42
10/1/76,33.19
1/1/77,33.36
4/1/77,34.99
7/1/77,35.81
10/1/77,36.67
1/1/78,37.7
4/1/78,39.07
7/1/78,40.8
10/1/78,41.79
1/1/79,43.22
4/1/79,44.05
7/1/79,45.33
10/1/79,46.22
1/1/80,48.15
4/1/80,49.66
7/1/80,50.94
10/1/80,51.61
1/1/81,52.18
4/1/81,53.07
7/1/81,51.72
10/1/81,53.44
1/1/82,45.5
4/1/82,53.28
7/1/82,51.13
10/1/82,55.38
1/1/83,55.53
4/1/83,56.82
7/1/83,57.03
10/1/83,57.85
1/1/84,57.37
4/1/84,59.74
7/1/84,60.5
10/1/84,60.87
1/1/85,61.61
4/1/85,62.97
7/1/85,64.41
10/1/85,64.84
1/1/86,65.74
4/1/86,67.53
7/1/86,69.51
10/1/86,71.18
1/1/87,73.26
4/1/87,75.83
7/1/87,79.75
10/1/87,82.41
1/1/88,85.65
4/1/88,89.25
7/1/88,91.97
10/1/88,94.4
1/1/89,96.61
4/1/89,99.1
7/1/89,100.94
10/1/89,101.85
1/1/90,102.11
4/1/90,102.41
7/1/90,101.87
10/1/90,100.53
1/1/91,101.07
4/1/91,101.22
7/1/91,100.41
10/1/91,102.01
1/1/92,102.32
4/1/92,101.49
7/1/92,102.32
10/1/92,102.43
1/1/93,102.19
4/1/93,102.4
7/1/93,102.42
10/1/93,102.96
1/1/94,103.15
4/1/94,102.23
7/1/94,101.16
10/1/94,100.28
1/1/95,100
4/1/95,100.89
7/1/95,102.13
10/1/95,102.88
1/1/96,104.04
4/1/96,102.69
7/1/96,101.68
10/1/96,102.37
1/1/97,102.79
4/1/97,102.37
7/1/97,103.33
10/1/97,104.11
1/1/98,105.59
4/1/98,105.73
7/1/98,106.28
10/1/98,107.46
1/1/99,108.69
4/1/99,109.52
7/1/99,111.45
10/1/99,113.1
1/1/00,115.69
4/1/00,119.38
7/1/00,122.31
10/1/00,125.1
1/1/01,129.2
4/1/01,133.05
7/1/01,137.2
10/1/01,140.24
1/1/02,143.91
4/1/02,149.17
7/1/02,154.24
10/1/02,157.1
1/1/03,160.04
4/1/03,163.19
7/1/03,168.35
10/1/03,177.31
1/1/04,182.84
4/1/04,192.31
7/1/04,209.76
10/1/04,217.45
1/1/05,227.49
4/1/05,244.5
7/1/05,257.78
10/1/05,268.98
1/1/06,274.29
4/1/06,278.67
7/1/06,279.9
10/1/06,281.95
1/1/07,280.11
4/1/07,278.09
7/1/07,271.96
10/1/07,265.67
1/1/08,258.29
4/1/08,242.01
7/1/08,229.66
10/1/08,225.39
1/1/09,225.59
4/1/09,218.12
7/1/09,213.25
10/1/09,213.92
1/1/10,211.73
4/1/10,211.96
7/1/10,214.67
10/1/10,214.16
1/1/11,209.45
4/1/11,208.9
7/1/11,211.72
10/1/11,213.76
1/1/12,212.59
4/1/12,212.13
7/1/12,215.38
10/1/12,216.89
1/1/13,218.53
4/1/13,222.74
7/1/13,225.84
10/1/13,227.44
1/1/14,229.11
4/1/14,233.9
7/1/14,235.75
10/1/14,238.96
1/1/15,240.21
4/1/15,243.39
7/1/15,245.65
10/1/15,246.66
1/1/16,247.66
4/1/16,251.37
7/1/16,253.93
10/1/16,255.91
1/1/17,253.95
4/1/17,261.04
7/1/17,262.18
10/1/17,263.39
1/1/18,265.37
4/1/18,267.94
7/1/18,270.63
10/1/18,270.57
1/1/19,273.48
4/1/19,278.09
7/1/19,280.83
10/1/19,282.96
1/1/20,285.98
4/1/20,288.92
7/1/20,293.29
10/1/20,298.72
1/1/21,304.75
4/1/21,318.73
7/1/21,330.14
10/1/21,336.75
1/1/22,345.69
4/1/22,362.26
7/1/22,360.82
10/1/22,357.05
1/1/23,357.39
4/1/23,370.22
7/1/23,373.75
10/1/23,372.38
1/1/24,378.17
4/1/24,392.23
7/1/24,395.31
